Datetime,Miner Reserve
2024-12-19T00:00:00Z,1811244.12192529
2024-12-18T00:00:00Z,1810524.48038127
2024-12-17T00:00:00Z,1810635.98633068
2024-12-16T00:00:00Z,1810835.0245747
2024-12-15T00:00:00Z,1811901.62383076
2024-12-14T00:00:00Z,1810365.35521203
2024-12-13T00:00:00Z,1810827.54582288
2024-12-12T00:00:00Z,1810387.44627015
2024-12-11T00:00:00Z,1810851.08848108
2024-12-10T00:00:00Z,1810970.67482133
2024-12-09T00:00:00Z,1811861.79297824
2024-12-08T00:00:00Z,1811107.13438718
2024-12-07T00:00:00Z,1811476.42279389
2024-12-06T00:00:00Z,1811718.5264099
2024-12-05T00:00:00Z,1814577.98303349
2024-12-04T00:00:00Z,1813319.75879511
2024-12-03T00:00:00Z,1813339.21537517
2024-12-02T00:00:00Z,1813231.4888143
2024-12-01T00:00:00Z,1813651.84323271
2024-11-30T00:00:00Z,1813360.35153548
2024-11-29T00:00:00Z,1813442.23096749
2024-11-28T00:00:00Z,1812651.13715545
2024-11-27T00:00:00Z,1813133.21272398
2024-11-26T00:00:00Z,1812863.55804761
2024-11-25T00:00:00Z,1812504.71566815
2024-11-24T00:00:00Z,1811896.72834427
2024-11-23T00:00:00Z,1811776.64830561
2024-11-22T00:00:00Z,1813351.84946896
2024-11-21T00:00:00Z,1812461.10985091
2024-11-20T00:00:00Z,1813849.93847708
2024-11-19T00:00:00Z,1812919.20428337
2024-11-18T00:00:00Z,1812757.03196116
2024-11-17T00:00:00Z,1812953.53291876
2024-11-16T00:00:00Z,1813298.47372876
2024-11-15T00:00:00Z,1813589.09246651
2024-11-14T00:00:00Z,1816489.12365685
2024-11-13T00:00:00Z,1814611.09065534
2024-11-12T00:00:00Z,1814240.08557351
2024-11-11T00:00:00Z,1815909.01787041
2024-11-10T00:00:00Z,1814398.013619
2024-11-09T00:00:00Z,1813916.37100871
2024-11-08T00:00:00Z,1813693.64834666
2024-11-07T00:00:00Z,1813329.1512104
2024-11-06T00:00:00Z,1813743.16325499
2024-11-05T00:00:00Z,1813191.24453336
2024-11-04T00:00:00Z,1813948.90782141
2024-11-03T00:00:00Z,1812944.75284828
2024-11-02T00:00:00Z,1813118.59078552
2024-11-01T00:00:00Z,1812820.52638472
2024-10-31T00:00:00Z,1813172.14641183
2024-10-30T00:00:00Z,1813015.81716729
2024-10-29T00:00:00Z,1814939.99447676
2024-10-28T00:00:00Z,1815340.91796984
2024-10-27T00:00:00Z,1814789.98129848
2024-10-26T00:00:00Z,1816424.45887801
2024-10-25T00:00:00Z,1815144.83871629
2024-10-24T00:00:00Z,1815893.94138477
2024-10-23T00:00:00Z,1814838.44725997
2024-10-22T00:00:00Z,1815278.0551086
2024-10-21T00:00:00Z,1814868.68051126
2024-10-20T00:00:00Z,1815229.36522938
2024-10-19T00:00:00Z,1814833.92420689
2024-10-18T00:00:00Z,1815338.24346237
2024-10-17T00:00:00Z,1815140.39244889
2024-10-16T00:00:00Z,1815722.02472974
2024-10-15T00:00:00Z,1814439.57475414
2024-10-14T00:00:00Z,1814760.03520279
2024-10-13T00:00:00Z,1814346.6251731
2024-10-12T00:00:00Z,1814445.97161761
2024-10-11T00:00:00Z,1814362.32439632
2024-10-10T00:00:00Z,1814113.42259284
2024-10-09T00:00:00Z,1814214.08830315
2024-10-08T00:00:00Z,1814140.11507242
2024-10-07T00:00:00Z,1814764.57111961
2024-10-06T00:00:00Z,1814695.11611103
2024-10-05T00:00:00Z,1814294.90495387
2024-10-04T00:00:00Z,1814347.78226465
2024-10-03T00:00:00Z,1814350.37196929
2024-10-02T00:00:00Z,1815605.95966666
2024-10-01T00:00:00Z,1816717.96657638
2024-09-30T00:00:00Z,1816752.48054209
2024-09-29T00:00:00Z,1816105.7549844
2024-09-28T00:00:00Z,1815896.11552072
2024-09-27T00:00:00Z,1815862.5749156
2024-09-26T00:00:00Z,1815898.99598906
2024-09-25T00:00:00Z,1816231.59278019
2024-09-24T00:00:00Z,1816443.42189417
2024-09-23T00:00:00Z,1815902.96624467
2024-09-22T00:00:00Z,1816170.43173881
2024-09-21T00:00:00Z,1815810.70204225
2024-09-20T00:00:00Z,1816454.00251493
2024-09-19T00:00:00Z,1816722.49558712
2024-09-18T00:00:00Z,1816946.6814106
2024-09-17T00:00:00Z,1816474.82243729
2024-09-16T00:00:00Z,1816556.664682
2024-09-15T00:00:00Z,1817426.65541092
2024-09-14T00:00:00Z,1816412.88848402
2024-09-13T00:00:00Z,1817135.20241925
2024-09-12T00:00:00Z,1816651.75867191
2024-09-11T00:00:00Z,1816745.34900596
2024-09-10T00:00:00Z,1816892.02552411
2024-09-09T00:00:00Z,1816703.06400987
2024-09-08T00:00:00Z,1816635.53271207
2024-09-07T00:00:00Z,1816737.6887288
2024-09-06T00:00:00Z,1817183.66454791
2024-09-05T00:00:00Z,1816905.99474955
2024-09-04T00:00:00Z,1816685.43243586
2024-09-03T00:00:00Z,1817012.78833601
2024-09-02T00:00:00Z,1817588.96732842
2024-09-01T00:00:00Z,1817302.53714613
2024-08-31T00:00:00Z,1817215.82113879
2024-08-30T00:00:00Z,1820013.3119322
2024-08-29T00:00:00Z,1817085.63399579
2024-08-28T00:00:00Z,1817164.43711583
2024-08-27T00:00:00Z,1816999.53116544
2024-08-26T00:00:00Z,1816012.25216747
2024-08-25T00:00:00Z,1816260.94769083
2024-08-24T00:00:00Z,1815983.33216824
2024-08-23T00:00:00Z,1816406.01737167
2024-08-22T00:00:00Z,1816479.19344399
2024-08-21T00:00:00Z,1816099.59451547
2024-08-20T00:00:00Z,1816172.7504515
2024-08-19T00:00:00Z,1816167.89888663
2024-08-18T00:00:00Z,1815991.32091121
2024-08-17T00:00:00Z,1815853.38790547
2024-08-16T00:00:00Z,1815764.45039872
2024-08-15T00:00:00Z,1815879.92332967
2024-08-14T00:00:00Z,1815837.94755291
2024-08-13T00:00:00Z,1815783.73512883
2024-08-12T00:00:00Z,1815463.03319472
2024-08-11T00:00:00Z,1815855.79943278
2024-08-10T00:00:00Z,1815605.27303072
2024-08-09T00:00:00Z,1815769.56552536
2024-08-08T00:00:00Z,1816589.89395005
2024-08-07T00:00:00Z,1817041.52548523
2024-08-06T00:00:00Z,1816244.48626655
2024-08-05T00:00:00Z,1816361.77297943
2024-08-04T00:00:00Z,1815624.44678733
